question,code,strategy,answer,error,total_tokens,grounding_score,retrieved_codes,hit,answer_chars,relevance,relevance_explanation
Can you recommend a sweet snack that contains chocolate and is made by Borggreve?,4006529002149,basic,"I recommend the ""Schoko Gebackenes Kekse"" by Borggreve. It is a sweet snack that contains chocolate.",,1406,,4006529002149|7032069109243|8718421154241|8718906105485|3760231780238,True,100,RELEVANT,"The answer provides a specific recommendation for a sweet snack containing chocolate made by Borggreve, fully addressing the question."
What are the main ingredients in Roots' Kettle Cooked Potato Chips?,0850023976093,basic,"The main ingredients in Roots' Kettle Cooked Potato Chips are IDAHO® purple potatoes, avocado oil, and sea salt.",,1123,,0850023976093|0708163121920|5391528181230|0008400048028|0011110836700,True,112,RELEVANT,The generated answer fully lists the main ingredients in Roots' Kettle Cooked Potato Chips.
Is there chili in La Bio Idea's Organic arrabiata sauce?,8717496903938,basic,"Yes, La Bio Idea's Organic arrabiata sauce contains chili (0.2%).",,1144,1.0,8717496903938|0059749982351|8029363759419|8016013001462|9100000737416,True,65,RELEVANT,The generated answer fully addresses the question by confirming the presence of chili in La Bio Idea's Organic arrabiata sauce.
What are the ingredients in Ökovital's Bio Smoothies?,4038857130010,basic,"The ingredients in Ökovital's Bio Smoothies are:

- Glukosesirup*
- Rohrzucker*
- Fruchtsaftkonzentrate und Fruchpüree (12.8%)
- Traube (6.7%)
- Banane* (3.1%)
- Pfirsisch (1%)
- Maracuja* (0.5%)
- Mango* (0.5%)
- Kiwi* (0.5%)
- Erdbeere* (0.5%)
- Schweinegelatine
- Säuerungsmittel (Zitronensäure, Milchsäure)
- natürliche Aromen
- Pektin
- färbendes Frucht- und Pflanzenauszüge (Karotten, Kürbis*, Apfel*, Alge, Safflor, Holunder)
- Überzugsmittel Carnaubawachs*

*Ingredients marked with an asterisk indicate they are organic.",,1565,0.714,4038857130010|4063367358838|4038857206623|0661475202049|9010054118089,True,529,RELEVANT,The generated answer fully provides the complete list of ingredients in Ökovital's Bio Smoothies.
What type of meat is the Côte de porc from France?,0253001000009,basic,The Côte de porc from France is made from pork (Viande de porc).,,1213,,0253001000009|2471248019815|2441321031751|3500340000014|2696405050382,True,64,RELEVANT,The generated answer fully addresses the question by correctly stating that the Côte de porc is made from pork.
What are the main ingredients in Loyd Grossman's Korma Sauce?,5000354159558,basic,"The main ingredients in Loyd Grossman's Korma Sauce are water, fried onions (onion, rapeseed oil), tomato purée, cream (milk) 8%, yogurt (milk), sugar, coconut cream, coconut flour (2.5%), modified maize starch, ginger purée, concentrated lemon juice, garlic purée, coriander, roasted almond flakes (0.8%), sea salt, and spices (ground cumin, ground roasted coriander, ground saffron, ground cassia, ground cardamom, ground fenugreek seeds, and chili powder).",,1588,1.0,5000354159558|5011308505017|5059697765766|5052675000965|5000354925399,True,459,RELEVANT,The generated answer fully lists the main ingredients in Loyd Grossman's Korma Sauce.
What brand makes a tomato and sausage pasta sauce that contains 57% tomato pulp?,00089227,basic,The brand that makes a tomato and sausage pasta sauce containing 57% tomato pulp is Marks & Spencer.,,1273,1.0,00089227|0041129395905|01745566|0086341608167|4088700011638,True,100,RELEVANT,The generated answer correctly identifies the brand that makes the specified tomato and sausage pasta sauce.
Are there any baby cereals that provide vitamins like C and D?,8410175073686,basic,"Yes, there are baby cereals that provide vitamins C and D. 

- **5 Cereales y Leche** (Cerelac, Nestlé) contains Vitamin C and Vitamin D3.
- **Nestum 5 Cereals** (Nestlé) contains Vitamin C and Vitamin D3.
- **P'TITE CEREALE 5 Céréales** (Nestlé) also contains Vitamin C and Vitamin D. 

The other products do not list these vitamins.",,2003,1.0,7613032490669|0028000033125|3288131500119|8445290117649|6161107792145,False,334,RELEVANT,"The answer provides a clear indication that there are baby cereals containing vitamins C and D, along with specific examples, directly addressing the question asked."
What is the allergen information for Tyson's Grilled Sweet Teriyaki Flavored Chicken Thigh Fillets?,0023700045287,basic,The allergen information for Tyson's Grilled Sweet Teriyaki Flavored Chicken Thigh Fillets includes gluten and soybeans.,,1256,,0023700045287|0023700025104|0023700060129|0023700046345|0023700014856,True,120,PARTLY_RELEVANT,The answer provides some allergen information but does not include all pertinent allergens or state if there are any others that may be present.
How many calories are in Bueno Creme hazelnut spread per 100 grams?,22173140,basic,The Bueno Creme hazelnut spread contains 540 kcal per 100 grams.,,1310,1.0,22173140|0060383062576|5410291000255|4013031062028|4002309003672,True,64,RELEVANT,The generated answer fully provides the calorie information for Bueno Creme hazelnut spread as requested.
Is there any fat content in Himalayan Chef's pink salt grinder?,0818581010857,basic,"The Himalayan Chef's pink salt grinder contains no fat. Per 100g, the fat content is 0 g.",,1013,,0818581010857|0021248100598|0732153119239|8904004401134|4061463218179,True,89,RELEVANT,The answer fully addresses the question by stating that the Himalayan Chef's pink salt grinder contains no fat and provides the fat content as 0 g per 100g.
What are the key ingredients in Granini's Minty Melon juice?,4048517678974,basic,"The key ingredients in Granini's Minty Melon juice are Wasser, Honigmelonensaft aus Honigmelonensaftkonzentrat (10%), Mangomark (10%), Zucker, Mangomark aus Mangomarkkonzentrat (6%), Zitronensaft aus Zitronensaftkonzentrat, natürliches Aroma, Antioxidationsmittel: Ascorbinsäure, Minzextrakt, and Vitamin A (aus Beta Carotin).",,1235,1.0,4048517678974|8423104000080|4009900542425|3092718621742|7617400047325,True,326,RELEVANT,"The answer fully lists the key ingredients in Granini's Minty Melon juice, providing complete information as requested by the question."
How much fat is in the Atlantic smoked salmon from U per 100g?,3256228972699,basic,The Atlantic smoked salmon from U contains 11 g of fat per 100 g.,,1109,1.0,3256228972699|3256228125651|8413080009474|7613269481560|5000169473795,True,65,RELEVANT,The generated answer fully provides the amount of fat in the Atlantic smoked salmon from U per 100g.
How many calories are in Pommes Frites Feinschnitt by korrekt?,4304218424112,basic,Pommes Frites Feinschnitt by korrekt contains 174 kcal per 100g.,,1026,1.0,4304218424112|5712871049969|4018077619830|3599741007593|3256226386542,True,64,RELEVANT,"The answer fully provides the calorie count for Pommes Frites Feinschnitt by korrekt, specifying the amount per 100g."
What are the ingredients in Rana's fromage de chèvre and caramelized onion dish?,8001665725910,basic,"The ingredients in Rana's Fromage de Chèvre & Oignons Caramélisés are:

- Farce 58%: fromage ricotta (sérum de lait, lait, sel), oignon rouge caramélisé 14% (oignon rouge 68%, sucre), crème (contient du lait), fromage de chèvre 6%, fromage mozzarella, chapelure (farine de blé tendre, eau, sel, levure), sérum de lait en poudre, huile de tournesol, amidons, oignon grillé, fromage râpé, beurre, fibres végétales (maïs et pommes de terre), sel, arômes naturels, flocons de pommes de terre, Vinaigre Balsamique (vinaigre de vin, moût de raisin (contient des sulfites)), persil, ciboulette.
- Pâte 42%: farine de blé tendre, oeufs 30%, semoule de blé dur.",,1942,0.5,8001665725910|3266140059811|3523230016131|3303320000321|3700155202119,True,652,RELEVANT,The generated answer fully lists the ingredients in Rana's fromage de chèvre and caramelized onion dish.
What is the sugar content per 100g in P'tits grains choco?,3222475413483,basic,The sugar content per 100g in P'tits grains choco is 23 g.,,1687,1.0,3222475413483|3297880000801|5410056011212|7613035449626|3421371518081,True,58,RELEVANT,The generated answer fully answers the question by providing the specific sugar content per 100g in P'tits grains choco.
How much fat is in Iberitos Pastel de cabracho per 100g?,8436561578795,basic,The fat content in Iberitos Pastel de cabracho is 6.8 g per 100g.,,1950,1.0,8436561578795|8437002869793|8437019840020|3560071489441|8437003894275,True,65,RELEVANT,"The answer provides the specific fat content of Iberitos Pastel de cabracho, directly addressing the question asked."
How many grams of protein are in 100g of Veganes Kassler by Meetlyke?,4032277007044,basic,The Veganes Kassler by Meetlyke contains 25.1 grams of protein per 100 grams.,,1456,1.0,4032277007044|4251725802189|9100000806112|5021320168343|8718300875823,True,77,RELEVANT,The generated answer fully answers the question by providing the exact amount of protein in 100 grams of Veganes Kassler by Meetlyke.
Is there any honey in Oscar Mayer's Deli Fresh Slow Roasted Roast Beef?,0044700030394,basic,"Yes, there is honey in Oscar Mayer's Deli Fresh Slow Roasted Roast Beef.",,1289,,0044700030394|20304652|4056489601340|4088600502410|4047247564342,True,72,NON_RELEVANT,"The answer incorrectly states that there is honey in the product, which may not be true, thus failing to accurately address the question."
Which granola mixes contain whey protein concentrate?,0850047220875,basic,"The granola mixes that contain whey protein concentrate are:

1. **Protein nut granola almond butter** by Nutrail.",,1409,,3830059011156|0196633820167|5600380896139|0016000234222|0850047220875,True,114,PARTLY_RELEVANT,The generated answer provides one example of a granola mix with whey protein concentrate but does not list any others or confirm if there are more options available.
What is the protein content per 100g in Simpl's cured dry sausage?,5400101034570,basic,The protein content per 100g in Simpl's cured dry sausage (SIMPL Saucisson sec pur porc) is 23 g.,,1577,1.0,5400101034570|5400101009509|3272551000403|4056489914181|4008460245500,True,97,RELEVANT,The generated answer fully provides the protein content per 100g for Simpl's cured dry sausage.
How many calories are in 100 grams of Coop Fine Food Gelato Fior di Latte?,7610845342437,basic,The Gelato Fior di Latte from Coop Fine Food contains 211 calories per 100 grams.,,1215,1.0,7610845342437|8002330134037|8001120709646|8001120929532|8001120914477,True,81,RELEVANT,The generated answer fully provides the required information about the calorie content in 100 grams of Coop Fine Food Gelato Fior di Latte.
Does Franprix's Cidre de Normandie brut contain any allergens?,3263855096186,basic,Franprix's Cidre de Normandie brut does not declare any allergens.,,1405,,3263855096186|3596710267576|3270160680856|5425032930005|3612645629019,True,66,RELEVANT,The answer correctly states that there are no declared allergens in Franprix's Cidre de Normandie brut.
Are there any salty snacks that contain 35g of fat per 100g?,28079484,basic,"Yes, there is a salty snack that contains 35g of fat per 100g: 

- **Product**: Kartoffelchips mit Salz (Brand: Penny)
- **Fat**: 35g per 100g",,1235,,4056489902461|5060255520062|28079484|3250390475071|0008400048028,True,142,RELEVANT,The generated answer fully provides the requested information about a salty snack that contains 35g of fat per 100g.
What are the ingredients in Stubb's Original Legendary Bar-B-Q Sauce?,0734756000020,basic,"The ingredients in Stubb's Original Legendary Bar-B-Q Sauce are: tomato puree (water, tomato paste), distilled vinegar, sugar, molasses, salt, spices (including black pepper, paprika, chili pepper), corn starch, brown sugar, contains less than 0.5% of: onion, garlic, guar gum (thickener), xanthan gum (thickener), natural flavor (including hickory smoke).",,1263,1.0,0734756000020|0858183005608|0074609092995|0013409351758|3760197944071,True,356,RELEVANT,The generated answer fully lists the ingredients in Stubb's Original Legendary Bar-B-Q Sauce.
How many calories are there in 100g of Tesco Chunky Chocolate Cookies?,5054402920805,basic,There are 490 kcal in 100g of Tesco Chunky Chocolate Cookies.,,1521,1.0,5054402920805|5063089267325|4088600184234|5057753599928|0044000053895,True,61,RELEVANT,The generated answer fully addresses the question by providing the exact calorie content for 100g of Tesco Chunky Chocolate Cookies.
What are the ingredients in Picard's breaded chicken sticks?,3270160202461,basic,"The ingredients in Picard's breaded chicken sticks (Bâtonnets de poulet panés) are:

- Préparation à base de viande de poulet (filet de poulet (origine : France*) 38,9%, viande de poulet (origine : France*) 9,7%, eau, peau de poulet 3,6%, protéines de blé (gluten), sel, huile de tournesol, gélifiant : algues Euchema transformées)
- Panure 32% (chapelure (farine de blé (gluten), levure, sel, épices en poudre (curcuma, paprika)), eau, farine de blé (gluten), semoule de blé dur (gluten), amidon de blé (gluten), gluten de blé, sel)
- Huile de tournesol

Allergen: gluten.",,1871,0.714,3270160202461|0060383206581|3270160207831|4061463887948|5391521362087,True,573,RELEVANT,"The generated answer fully provides the detailed ingredients of Picard's breaded chicken sticks, including percentages and allergen information."
How many calories are there in a 100g serving of Crous's Triangle Comtois?,00013819,basic,There are 182 calories in a 100g serving of Crous's Triangle Comtois.,,2302,1.0,00013819|3256220064767|3292590801779|3250391870660|3263853004510,True,69,RELEVANT,The generated answer fully addresses the question by providing the correct calorie count for a 100g serving of Crous's Triangle Comtois.
What is the shelf life of an unopened Pilos Milchreis?,4335619161481,basic,The shelf life of an unopened Pilos Milchreis is at least until the date indicated on the lid when stored under +8 °C.,,1325,1.0,4335619161481|8711200454655|4311596465064|4337256765183|42414957,True,118,RELEVANT,The generated answer fully provides the shelf life information of unopened Pilos Milchreis as indicated on the product packaging.
Are there any artificial colors used in Skittles bite size candies?,0022000018847,basic,"Yes, Skittles bite size candies use artificial colors.",,1240,,0022000018847|0012546014762|0810165015913|7616500913493|0057961026518,True,54,RELEVANT,"The answer directly states that Skittles bite size candies use artificial colors, fully addressing the question."
Does Great Value Rosée Pasta Sauce contain any allergens?,0628915408539,basic,"Great Value Rosée Pasta Sauce contains milk as an allergen. It may also contain traces of sesame, eggs, fish, soy, wheat, and mustard.",,1454,,0628915408539|0194346052912|0810159831345|0078742346342|4088700011638,True,134,RELEVANT,The answer fully addresses the question by identifying milk as an allergen and listing potential traces of other allergens.
How much fat is contained in El Cencerro's Queso de oveja semicurado per 100g?,8480017316042,basic,El Cencerro's Queso de oveja semicurado contains 37 g of fat per 100 g.,,1053,1.0,8480017316042|8422823210213|20266523|8413100611229|8480013072836,True,71,RELEVANT,The generated answer accurately provides the fat content of El Cencerro's Queso de oveja semicurado per 100g.
What brand offers an assortment of biscuits that includes dark and white chocolate?,3596710556144,basic,"The brand that offers an assortment of biscuits that includes dark and white chocolate is ASDA, with their product ""Belgian White Chocolate & Pretzel Cookies"" and Spar, with their ""spar dark chocolate biscuits"".",,1539,,8710671003232|5063089267325|4068261088294|4088600184234|5000254021535,False,211,PARTLY_RELEVANT,The answer identifies brands that offer biscuits with dark and white chocolate but does not provide a comprehensive list of all relevant brands that include both types of chocolate.
Is there any sugar in Schnucks reduced fat cheddar cheese?,0041318581386,basic,"No, there is no sugar in Schnucks reduced fat cheddar cheese. It contains 0 grams of sugars per 100 grams.",,1191,,0041318581386|0041318530094|0078742267487|0041250670056|4311501486238,True,106,RELEVANT,The answer fully addresses the question by stating that there is no sugar in Schnucks reduced fat cheddar cheese and providing specific information about its sugar content.
Does Sveltesse contain any sugars or salt?,8410100012636,basic,Sveltesse contains 0 g of sugars and 0 g of salt.,,1136,,8410100012636|9000295871898|20889463|0022000018847|4006824000970,True,49,RELEVANT,The generated answer fully addresses the question by providing the specific information that Sveltesse contains 0 g of sugars and 0 g of salt.
Does Vanille Traum Ice Cream Style Orange Caprio contain any allergens?,4002971395907,basic,"Yes, Vanille Traum Ice Cream Style Orange Caprio contains milk as an allergen.",,2656,,4002971395907|4061458109611|6111178000519|3560071489441|3564700882269,True,78,PARTLY_RELEVANT,The answer correctly identifies milk as an allergen but does not clarify if there are any other allergens present in the product.
"How many calories are in Organic Girl's smoothie, green cider?",0840469110045,basic,"The Organic Girl smoothie, green cider contains 30.6489 calories per 100g. For a 296 ml bottle, the total calorie count is not directly provided; however, you can calculate it based on the serving size if needed.",,1616,0.5,0840469110045|4038857130010|4260428140610|0032601706326|0013764001244,True,212,PARTLY_RELEVANT,The answer provides calorie information per 100g but does not directly state the total calorie count for a 296 ml bottle.
How many calories are in 100g of AH rundvleessalade?,8710400042907,basic,There are 163 calories in 100g of AH rundvleessalade.,,2053,1.0,8710400042907|8719587095478|8719587095546|8710400481713|8719587132531,True,53,RELEVANT,"The generated answer provides the exact number of calories in 100g of AH rundvleessalade, directly addressing the question."
How many calories are in 100g of Breaded Chicken Nuggets by Marks & Spencer?,00595445,basic,The Breaded Chicken Nuggets by Marks & Spencer contain 184 kcal per 100g.,,1347,1.0,00595445|00308403|00324922|00491426|00894418,True,73,RELEVANT,The generated answer fully provides the calorie content of the Breaded Chicken Nuggets by Marks & Spencer as requested in the question.
What are the main ingredients in Tesco's Thai Inspired Chicken Curry Wrap?,03434581,basic,"The main ingredients in Tesco's Thai Inspired Chicken Curry Wrap are:

- Water
- Chicken Breast (23%)
- Wheat Flour
- Spinach
- Coconut Milk
- Rapeseed Oil
- Shallot
- Palm Oil
- Cornflour
- Green Chilli Purée
- Sugar
- Spirit Vinegar
- Tomato Powder
- Various spices and herbs (including Lemongrass, Coriander, Thai Basil, and Ginger Purée)",,1759,1.0,03434581|5057753892357|5010525363721|5400101048560|5053947788154,True,341,RELEVANT,The generated answer fully lists the main ingredients in Tesco's Thai Inspired Chicken Curry Wrap.
Is there a cheese option that has zero sugars along with lower fat?,3228023120056,basic,"Yes, the ""Fromage allégé en matière grasse"" by Coeurmandie has zero sugars and lower fat, with 11 g of fat per 100 g.",,1181,1.0,3228023120056|4061459799590|5010525116204|7793913001754|0041250670056,True,117,RELEVANT,The answer provides a specific cheese option that meets both criteria of having zero sugars and lower fat.
Is Govinda's Rote Bete Pulver suitable for a vegan diet?,4038507006191,basic,"Yes, Govinda's Rote Bete Pulver is suitable for a vegan diet, as it contains 100% organic beetroot powder and no animal-derived ingredients.",,1438,,4038507006191|4056489460312|4061458095228|5010034013544|4260718291398,True,140,RELEVANT,The generated answer fully addresses the question by confirming that Govinda's Rote Bete Pulver is suitable for a vegan diet and providing supporting information about its ingredients.
Are Greenforce nuggets suitable for a vegetarian diet?,4260322212444,basic,"Yes, Greenforce nuggets are suitable for a vegetarian diet. They are labeled as vegetarian and vegan.",,1705,,4260322212444|8445290707352|4335619249493|8445290062208|4026584143618,True,101,RELEVANT,The generated answer fully addresses the question by confirming that Greenforce nuggets are suitable for a vegetarian diet.
Is there any added sugar in Exotic Food Kokoscreme?,8853662002125,basic,"The Exotic Food Kokoscreme contains 2.7 g of sugars per 100g, but there is no mention of added sugar. Therefore, the information about added sugar is not available.",,1212,1.0,8853662002125|4000194332204|4260402480862|4337185605048|3760383181815,True,164,RELEVANT,"The answer correctly indicates that the information about added sugar is not available, which fully addresses the question."
How many calories are there in 100g of AH's witlof and apple salad?,8718906114340,basic,The AH's witlof and apple salad contains 111.642 kcal per 100g.,,1792,1.0,8718906114340|8719587095546|8710400481713|8718906151758|8710400397816,True,63,RELEVANT,The generated answer fully answers the question by providing the exact calorie content of AH's witlof and apple salad per 100g.
What are the ingredients in Metamucil's sugar-free orange flavor fiber therapy?,0037000308577,basic,"The ingredients in Metamucil's Sugar-Free Orange Flavor Fiber Therapy are: Psyllium husk (plantago ovata), Maltodextrin, citric acid, orange flavour, aspartame, yellow 6.",,1238,,0037000308577|0037000978480|7613269295853|0198168959220|50354009,True,170,RELEVANT,The generated answer fully lists all the ingredients in Metamucil's Sugar-Free Orange Flavor Fiber Therapy.
What are the main ingredients in Magic mix snacks?,5010511479535,basic,The main ingredients in Magic mix snacks are not declared in the source data.,,1655,,5010511479535|0016000214972|0016000138803|0196633976796|0873983005047,True,77,RELEVANT,The generated answer correctly states that the information about the main ingredients in Magic mix snacks is not available in the source data.
What is the calorie count per 100g for the Ensalada Ligera from LM Sandwich?,8437000199038,basic,The calorie count per 100g for the Ensalada Ligera from LM Sandwich is 177 kcal.,,1587,1.0,8437000199038|7804097011016|8480024819086|7804610853772|4056489140320,True,80,RELEVANT,The generated answer fully provides the requested calorie count per 100g for the Ensalada Ligera from LM Sandwich.
Does Nestlé Sinlac contain any sugar?,7613037019261,basic,"Yes, Nestlé Sinlac contains sugar.",,1543,,7613037019261|7613036519960|7613033582677|7613033068959|0055000407106,True,34,RELEVANT,"The generated answer correctly states that Nestlé Sinlac contains sugar, directly addressing the question."
How much fat is in the Kuljanka borschtsch with beef?,20831844,basic,The Kuljanka borschtsch with beef contains 2.3 g of fat per 100 g.,,1549,1.0,20831844|9100000714660|4061458014045|3250391139804|5900397734357,True,66,RELEVANT,The generated answer fully provides the specific amount of fat in Kuljanka borschtsch with beef.
What are the ingredients in President's Choice chicken nuggets?,0060383002251,basic,"The ingredients in President's Choice chicken nuggets (Pub chicken nuggets) are:

- Chicken
- Water
- Enriched wheat flour
- Vegetable oil
- Whole wheat flour
- Corn flour
- Soy protein isolate
- Rice starch
- Corn starch
- Modified corn starch
- Salt
- Sugar
- Soy protein concentrate
- Yeast
- Wheat starch
- Wheat gluten
- Paprika
- Annatto
- Spice extract
- Soy sauce powder
- Onion powder
- Baking powder
- Chicken fat
- Spice
- Garlic powder
- Flavour
- Yeast extract
- Dried chicken stock
- Soy sauce",,1516,,0060383002251|0060249102613|0072745834578|0061483065146|0072745806223,True,507,RELEVANT,The generated answer fully lists the ingredients in President's Choice chicken nuggets.
What are the ingredients in Praise's olive oil vinaigrette with roasted garlic?,9310047216847,basic,"The ingredients in Praise's olive oil vinaigrette with roasted garlic are: water, olive oil (15%), sunflower oil [antioxidant (320)], white vinegar, roasted garlic (4%) [food acid (330)], sugar, free range whole egg, salt, garlic, buttermilk powder, onion, vegetable gum (415 from soy), food acid (330), black pepper, natural flavour (milk).",,1296,0.167,9310047216847|0011110151728|3700238361993|3265475522007|5060178073713,True,341,RELEVANT,The generated answer fully lists the ingredients in Praise's olive oil vinaigrette with roasted garlic.
How many calories are there per 100g in Pouce's assortment de biscuits?,3596710556144,basic,The Pouce's assortment de biscuits contains 485 kcal per 100g.,,1537,1.0,3596710556144|3256224060499|5020000168000|3449610763009|3250391714407,True,62,RELEVANT,"The generated answer provides the exact calorie count per 100g for Pouce's assortment de biscuits, fully addressing the question."
How much fat is in 100g of Mortadelle from Il Gusto Deli Italia?,2007030026572,basic,The Mortadelle from Il Gusto Deli Italia contains 24 g of fat per 100 g.,,1565,1.0,2007030026572|8016451151507|8015673029694|3512690002075|0048176560027,True,72,RELEVANT,The generated answer fully answers the question by providing the exact amount of fat in 100g of Mortadelle from Il Gusto Deli Italia.
Are there any allergens in Les Petits carres Chocolat et sel de Guerande?,3226219013113,basic,"Yes, Les Petits carres Chocolat et sel de Guerande contain the following allergens: eggs, gluten, and milk.",,1584,,3226219013113|3760231780238|3421371518081|3258590002509|5410976321019,True,107,PARTLY_RELEVANT,"The answer correctly identifies allergens but may not accurately reflect the specific allergens present in the product, potentially leading to misinformation."
How many calories are in 100g of Chef Select guacamole?,4056489242079,basic,There are 147 calories in 100g of Chef Select guacamole.,,1400,1.0,4056489242079|0616112031506|4304218434791|8032523372489|20755638,True,56,RELEVANT,The generated answer fully provides the correct caloric information for 100g of Chef Select guacamole.
How much fat is in Findus' cauliflower and cheese medallions?,8434702001034,basic,The Findus cauliflower and cheese medallions contain 14 g of fat per 100g.,,1251,1.0,5010251764670|8434702001034|7613035915695|8057018221998|7613030006190,True,74,RELEVANT,The generated answer fully provides the amount of fat in Findus' cauliflower and cheese medallions.
What dietary supplement by Almased contains 52.2g of protein per 100g?,4250529300006,basic,The dietary supplement by Almased that contains 52.2g of protein per 100g is indeed called Almased.,,1316,,4250529300006|5060474941709|4061459425918|0039978006554|4036554703520,True,99,RELEVANT,The generated answer correctly identifies the dietary supplement by Almased that contains 52.2g of protein per 100g.
How much protein does each 100g serving of ESN Strawberry Yoghurt Flavour contain?,4250519677057,basic,Each 100g serving of ESN Strawberry Yoghurt Flavour contains 33g of protein.,,1939,,4250519677057|4250519665573|5060360507514|0007789047893|5055534307281,True,76,RELEVANT,The generated answer fully answers the question by providing the exact amount of protein per 100g serving of the product.
How many calories are there in 100 grams of Tyson Grilled Sweet Teriyaki Chicken Thigh Fillets?,0023700045287,basic,There are 166.667 calories in 100 grams of Tyson Grilled Sweet Teriyaki Chicken Thigh Fillets.,,1214,1.0,0023700045287|0023700025104|0023700060129|0023700014856|0023700026866,True,94,RELEVANT,The generated answer correctly provides the calorie content for 100 grams of the specified product.
Does Gerber's Mealtime for Baby contain wheat as an allergen?,0015000073282,basic,"Yes, Gerber's Mealtime for Baby contains wheat as an allergen.",,1488,,0015000073282|0015000070519|36457953|7616100581535|0015000070212,True,62,RELEVANT,The generated answer fully confirms that Gerber's Mealtime for Baby contains wheat as an allergen.
