question,code,product_name,category
What are the ingredients in Sempio's Korean Dipping sauce?,8801005990110,Korean Dipping sauce,ingredient
Does Sempio's Korean Dipping sauce contain gluten or soybeans?,8801005990110,Korean Dipping sauce,allergen
What is the sugar content in Sempio's Korean Dipping sauce per 100g?,8801005990110,Korean Dipping sauce,nutrition
What are the main ingredients in Roots' Kettle Cooked Potato Chips?,0850023976093,Kettle Cooked Potato Chips,ingredient
How many calories are in Roots kettle cooked potato chips per 100 grams?,0850023976093,Kettle Cooked Potato Chips,nutrition
Are Roots kettle cooked potato chips made with avocado oil?,0850023976093,Kettle Cooked Potato Chips,discovery
What are the main ingredients in Coop's Mandelcreme?,7613356855298,Mandelcreme,ingredient
Does Mandelcreme contain any allergens?,7613356855298,Mandelcreme,allergen
How much fat is in Coop's Mandelcreme spread?,7613356855298,Mandelcreme,nutrition
What are the protein sources in Protifast Velouté Poulet?,3401543145925,Protifast Velouté Poulet 500g (pot),ingredient
Does Protifast Velouté Poulet contain allergens like gluten or eggs?,3401543145925,Protifast Velouté Poulet 500g (pot),allergen
How many calories are in 100g of Protifast's chicken velouté?,3401543145925,Protifast Velouté Poulet 500g (pot),nutrition
What are the ingredients in clever spaghetti?,9003740067129,clever Spaghetti,ingredient
Which spaghetti brand is made from Hartweizengrieß and Wasser?,9003740067129,clever Spaghetti,product_lookup
Does clever spaghetti contain gluten?,9003740067129,clever Spaghetti,allergen
How much protein does clever spaghetti have per 100g?,9003740067129,clever Spaghetti,nutrition
What is the energy content of clever brand spaghetti?,9003740067129,clever Spaghetti,nutrition
What are the ingredients in Tesco's Chunky Chocolate Cookies?,5054402920805,Chunky Chocolate Cookies,ingredient
Are Tesco's Chunky Chocolate Cookies safe for someone with a milk allergy?,5054402920805,Chunky Chocolate Cookies,allergen
How many calories are there in 100g of Tesco Chunky Chocolate Cookies?,5054402920805,Chunky Chocolate Cookies,nutrition
What brand offers chunky breaded haddock fingers?,5000205046563,Gastro Chunky Breaded Haddock Fingers,product_lookup
What are the main ingredients in Young's breaded haddock fingers?,5000205046563,Gastro Chunky Breaded Haddock Fingers,ingredient
Does Young's chunky breaded haddock fingers contain fish allergens?,5000205046563,Gastro Chunky Breaded Haddock Fingers,allergen
How many calories are in 100 grams of Young's breaded haddock fingers?,5000205046563,Gastro Chunky Breaded Haddock Fingers,nutrition
What is the fat content in Young's chunky breaded haddock fingers compared to their other fish products?,5000205046563,Gastro Chunky Breaded Haddock Fingers,comparison
Are there any breaded fish products made specifically with haddock?,5000205046563,Gastro Chunky Breaded Haddock Fingers,discovery
What is the protein amount per 100g in Young's haddock fingers?,5000205046563,Gastro Chunky Breaded Haddock Fingers,constraint
What are the main ingredients in Post great grains cereal with crunchy pecans?,0884912126016,Post great grains cereal crunchy pecan,ingredient
Does Post great grains cereal contain any milk or nut allergens?,0884912126016,Post great grains cereal crunchy pecan,allergen
What is the protein content per 100 grams in Post's crunchy pecan cereal?,0884912126016,Post great grains cereal crunchy pecan,nutrition
Which brand offers a vegan cinnamon roll made with Ceylon cinnamon?,4044889004878,Cinnamon roll,product_lookup
What are the ingredients in iChoc's cinnamon roll?,4044889004878,Cinnamon roll,ingredient
Does the cinnamon roll from iChoc contain any nuts?,4044889004878,Cinnamon roll,allergen
How many calories are in 100 grams of iChoc's cinnamon roll?,4044889004878,Cinnamon roll,nutrition
How does iChoc's cinnamon roll compare to other vegan chocolate snacks?,4044889004878,Cinnamon roll,comparison
What are some sweet snack options made with cocoa?,4044889004878,Cinnamon roll,discovery
Does iChoc's cinnamon roll contain gluten?,4044889004878,Cinnamon roll,constraint
What ingredients are in the semi-cured sheep cheese by El Cencerro?,8480017316042,Queso de oveja semicurado,ingredient
Is there milk allergen present in Queso de oveja semicurado?,8480017316042,Queso de oveja semicurado,allergen
How much fat is contained in El Cencerro's Queso de oveja semicurado per 100g?,8480017316042,Queso de oveja semicurado,nutrition
What are the key ingredients in Bio Village's cocoa-flavored frozen biscuits?,3564707155281,"Mes petits biscuit, gôt cacao",ingredient
"How many calories are in a hundred grams of Mes petits biscuit, gôt cacao?",3564707155281,"Mes petits biscuit, gôt cacao",nutrition
Are there any allergens in the frozen biscuits from Bio Village?,3564707155281,"Mes petits biscuit, gôt cacao",allergen
What are the ingredients in Blédina's vegetable lasagna?,3041091828583,Bledichef Lasagnes légumes,ingredient
Does Blédichef Lasagnes légumes contain gluten?,3041091828583,Bledichef Lasagnes légumes,allergen
How many calories does Blédina's vegetable lasagna have per 100g?,3041091828583,Bledichef Lasagnes légumes,nutrition
What is the main protein source in Sodebo's J'ai envie d'un wrap with chicken and egg mimosa?,3242272993551,J'ai envie d'un wrap - Poulet Œuf mimosa,ingredient
Does J'ai envie d'un wrap - Poulet Œuf mimosa contain any allergens?,3242272993551,J'ai envie d'un wrap - Poulet Œuf mimosa,allergen
How many calories are in Sodebo's wrap with chicken and egg mimosa?,3242272993551,J'ai envie d'un wrap - Poulet Œuf mimosa,nutrition
What are the main ingredients in Spar's Veganes Faschiertes?,9100000806112,Veganes Faschiertes,ingredient
How many calories are in Spar veggie's Veganes Faschiertes?,9100000806112,Veganes Faschiertes,nutrition
Is there any added sugar in Spar's Veganes Faschiertes?,9100000806112,Veganes Faschiertes,nutrition
What are the ingredients in Tesco's freeFrom 4 hot cross buns?,5053526716622,TESCO freeFROM 4 HOT CROSS BUNS,ingredient
How many calories are in Tesco freeFrom hot cross buns?,5053526716622,TESCO freeFROM 4 HOT CROSS BUNS,nutrition
Does Tesco's freeFrom hot cross buns contain any preservatives?,5053526716622,TESCO freeFROM 4 HOT CROSS BUNS,allergen
What ingredients are in Naturello's Pesto alla Genovese?,8029175097709,Pesto alla genovese,ingredient
How many calories are in 100 grams of Pesto alla Genovese by Naturello?,8029175097709,Pesto alla genovese,nutrition
Does Naturello's Pesto alla Genovese contain any allergens?,8029175097709,Pesto alla genovese,allergen
What are the ingredients in Terra Douceurs ketchup?,3760346870077,Ketchup (conversion),ingredient
Is there any allergen information for Terra Douceurs tomato ketchup?,3760346870077,Ketchup (conversion),allergen
How many calories are in 100g of ketchup from Terra Douceurs?,3760346870077,Ketchup (conversion),nutrition
What brand makes oven chips with 97% potato content?,5391528181230,PROPER CHIPS,product_lookup
Are there any additives or preservatives in Strong Roots frozen oven chips?,5391528181230,PROPER CHIPS,ingredient
How much fat is in a 100g serving of Proper Chips by Strong Roots?,5391528181230,PROPER CHIPS,nutrition
Which frozen chips contain only potato and sunflower oil?,5391528181230,PROPER CHIPS,discovery
What is the energy content per 100g of Strong Roots Proper Chips?,5391528181230,PROPER CHIPS,nutrition
Do Proper Chips contain any sugar?,5391528181230,PROPER CHIPS,allergen
What are the ingredients in Chef Select's mild guacamole dip?,4056489242079,Guacamole Avocado-Dip mild,ingredient
How many calories are in 100g of Chef Select guacamole?,4056489242079,Guacamole Avocado-Dip mild,nutrition
Is there any added sugar in Chef Select's mild avocado dip?,4056489242079,Guacamole Avocado-Dip mild,allergen
What are the ingredients in Metamucil's sugar-free orange flavor fiber therapy?,0037000308577,Metamucil 4 in 1 Sugar-Free Orange Flavour Fibre Therapy,ingredient
Is there any protein content in Procter & Gamble's Metamucil 4 in 1 sugar-free orange flavor?,0037000308577,Metamucil 4 in 1 Sugar-Free Orange Flavour Fibre Therapy,nutrition
What mixed beans in tomato sauce does Bachelors offer?,5397136012300,Taco mixed beans,product_lookup
Can you tell me the key ingredients in Bachelors' Taco mixed beans?,5397136012300,Taco mixed beans,ingredient
How much protein is found per 100g in Bachelors Taco mixed beans?,5397136012300,Taco mixed beans,nutrition
What are the ingredients in Paluani's Colomba con crema chantilly?,8002540023336,Colomba con crema chantilly,ingredient
Does Colomba con crema chantilly contain milk as an allergen?,8002540023336,Colomba con crema chantilly,allergen
How many calories are in Paluani's sweet pastry Colomba con crema chantilly?,8002540023336,Colomba con crema chantilly,nutrition
What is the main protein source in Père Dodu's Crousty croc kebab?,3596690103048,Crousty croc kebab,ingredient
Does Père Dodu's Crousty croc kebab contain any allergens?,3596690103048,Crousty croc kebab,allergen
How many calories are in 100g of Crousty croc kebab by Père Dodu?,3596690103048,Crousty croc kebab,nutrition
What are the main ingredients in Quaker's Harvest Crunch granola cereals?,0055577105429,Harvest crunch granola cereales,ingredient
How many calories are there in 100g of Harvest Crunch granola from Quaker?,0055577105429,Harvest crunch granola cereales,nutrition
Does Quaker's Harvest Crunch granola contain dairy or nuts?,0055577105429,Harvest crunch granola cereales,allergen
What are the ingredients in 365's cocoa milk?,5400601350507,Cocoa milk,ingredient
How many calories are in Delhaize's cocoa milk per 100g?,5400601350507,Cocoa milk,nutrition
Does 365 cocoa milk contain any stabilizers?,5400601350507,Cocoa milk,ingredient
What are the ingredients in Bio Village's grated Parmesan cheese?,3564707120050,Parmesan,ingredient
How much fat is in the grated Parmigiano Reggiano from Marque Repère?,3564707120050,Parmesan,nutrition
What are the ingredients in Faça a Festa gelatina?,7898683710940,gelatina,ingredient
How many calories are in 100g of the strawberry-flavored gelatina by Faça a Festa?,7898683710940,gelatina,nutrition
Is there any fat content in Faça a Festa jelly desserts?,7898683710940,gelatina,nutrition
What are the main ingredients in M&S Food's feta and olive salad?,00153782,Feta and olive salad,ingredient
Does M&S Food's feta and olive salad contain any milk allergens?,00153782,Feta and olive salad,allergen
What is the calorie count per 100g for the feta and olive salad by M&S Food?,00153782,Feta and olive salad,nutrition
What are the main ingredients in Saveur d'Auge's Coq au vin?,3454740001327,Coq au vin,ingredient
Does Saveur d'Auge's Coq au vin contain sulphites?,3454740001327,Coq au vin,allergen
How many calories are in 100g of Saveur d'Auge Coq au vin?,3454740001327,Coq au vin,nutrition
What are the main ingredients in a meat preparation that contains beef and turkey?,6111250476973,6111250476973,ingredient
How much fat is found in a meat product made by Coopak Les Viandes?,6111250476973,6111250476973,nutrition
Is there any added sugar in a Moroccan meat preparation with beef and turkey?,6111250476973,6111250476973,nutrition
What are the ingredients in the orange carrot vegetable coating?,4260749410003,Gemüsepanade Orange Carrot,ingredient
How much fat does the Gemüsepanade Orange Carrot contain per 100g?,4260749410003,Gemüsepanade Orange Carrot,nutrition
Does the Gemüsepanade Orange Carrot contain any allergens?,4260749410003,Gemüsepanade Orange Carrot,allergen
What are the main ingredients in Mark's and Spencer's Italian Tomato Pasta Sauce?,00575300,Italian Tomato Pasta Sauce,ingredient
Is Mark's and Spencer's Italian Tomato Pasta Sauce suitable for vegetarians?,00575300,Italian Tomato Pasta Sauce,allergen
How many calories are in 100g of Mark's and Spencer Italian Tomato Pasta Sauce?,00575300,Italian Tomato Pasta Sauce,nutrition
What ingredients are in Remia's honey mustard dressing?,8710448536956,Sauce Honey Mustard Dressing Remia,ingredient
How many calories are in Remia honey mustard dressing per 100g?,8710448536956,Sauce Honey Mustard Dressing Remia,nutrition
Does Remia honey mustard dressing contain any allergens?,8710448536956,Sauce Honey Mustard Dressing Remia,allergen
What snacks can I find that are made by Virginia Health Food Ltd and contain dried cranberries?,5391520170676,Squbes,discovery
What are the main ingredients in Squbes from Virginia Health Food Ltd?,5391520170676,Squbes,ingredient
How many calories are in 100g of Squbes sweet snacks?,5391520170676,Squbes,nutrition
What are the ingredients in Simpl's dry sausage made from pure pork?,5400101034570,SIMPL Saucisson sec pur porc,ingredient
Does Simpl Saucisson sec pur porc contain any milk allergens?,5400101034570,SIMPL Saucisson sec pur porc,allergen
What is the protein content per 100g in Simpl's cured dry sausage?,5400101034570,SIMPL Saucisson sec pur porc,nutrition
What are the main ingredients in HappyBABY's Pain au graines de tournesol?,36457953,Pain au graines de tournesol,ingredient
Does HappyBABY's Pain au graines de tournesol contain gluten?,36457953,Pain au graines de tournesol,allergen
How many grams of protein are in HappyBABY Pain au graines de tournesol per 100g?,36457953,Pain au graines de tournesol,nutrition
What are the ingredients in Hacendado's Pérolas pasta?,8402001019890,Pérolas,ingredient
Does Hacendado's Pérolas contain gluten?,8402001019890,Pérolas,allergen
How many calories are there in 100g of Pérolas made by Hacendado?,8402001019890,Pérolas,nutrition
What are the main ingredients in Palets Orange shortbread cookies?,3040280001059,Palets orange,ingredient
How many calories are there in 100 grams of Palets Orange biscuits?,3040280001059,Palets orange,nutrition
Does Palets Orange contain any allergens such as nuts or sulfites?,3040280001059,Palets orange,allergen
What is the brand of the breaded chicken cutlets made with 64% chicken breast meat?,3270160207831,Escalopes de poulet panées,product_lookup
How many calories are there in 100 grams of Picard's breaded chicken escalopes?,3270160207831,Escalopes de poulet panées,nutrition
What are the ingredients in Les Doodingues P'tits grains choco?,3222475413483,P'tits grains choco,ingredient
Does P'tits grains choco contain gluten?,3222475413483,P'tits grains choco,allergen
What is the sugar content per 100g in P'tits grains choco?,3222475413483,P'tits grains choco,nutrition
What are the ingredients in Tic Tac's Gum Anguria?,80899181,Gum Anguria,ingredient
Does Gum Anguria contain soy allergens?,80899181,Gum Anguria,allergen
How many calories are in 100g of Gum Anguria by Tic Tac?,80899181,Gum Anguria,nutrition
What is the energy content per 100g in Netto's veloute carottes et creme?,3250391434633,Veloute carottes et creme 1l,nutrition
Can you tell me the ingredients of the carrot cream soup by Netto?,3250391434633,Veloute carottes et creme 1l,ingredient
Is there any milk in Netto's vegetable soup?,3250391434633,Veloute carottes et creme 1l,allergen
What are the main ingredients in the Premium Ice Cream by Friendly's?,0029839403486,Premium Ice Cream,ingredient
How many calories are in Friendly's Premium Ice Cream per 100g?,0029839403486,Premium Ice Cream,nutrition
Is there any added color in Friendly's Premium Ice Cream?,0029839403486,Premium Ice Cream,ingredient
What are the main ingredients in Despar's apricot pie?,8057204092708,Crostata con confettura di albicocche,ingredient
Does the Crostata con confettura di albicocche contain gluten?,8057204092708,Crostata con confettura di albicocche,allergen
How many calories are in Despar's sweet apricot tart?,8057204092708,Crostata con confettura di albicocche,nutrition
What are the main ingredients in Terrine du lac d'issarles?,3500340000014,"Terrine du lac d'issarles , le pot en verre de 180 gr",ingredient
How many calories are in the terrine from France made with pork and cream?,3500340000014,"Terrine du lac d'issarles , le pot en verre de 180 gr",nutrition
Is there any added sugar in the Terrine du lac d'issarles?,3500340000014,"Terrine du lac d'issarles , le pot en verre de 180 gr",allergen
What brand makes a tomato and sausage pasta sauce that contains 57% tomato pulp?,00089227,Tomato & Sausage Pasta Sauce,product_lookup
Does the Tomato & Sausage Pasta Sauce by Marks & Spencer contain celery?,00089227,Tomato & Sausage Pasta Sauce,allergen
How much fat is present in Marks & Spencer's tomato and sausage pasta sauce per 100g?,00089227,Tomato & Sausage Pasta Sauce,nutrition
What are the ingredients in GC Rieber's Seven Oceans Emergency Ration?,70224818,Seven Oceans Emergency Ration,ingredient
How many calories are there per 100 grams in Seven Oceans Emergency Ration?,70224818,Seven Oceans Emergency Ration,nutrition
Does Seven Oceans Emergency Ration contain any traces of milk or soy?,70224818,Seven Oceans Emergency Ration,allergen
What is the fat content in Sainsbury's Tomato & Herb Bolognese sauce?,01376241,Tomato & Herb Bolognese,nutrition
Does Sainsbury's Tomato & Herb Bolognese contain any garlic?,01376241,Tomato & Herb Bolognese,ingredient
I'm looking for a tomato sauce that contains basil and oregano. Can you recommend one?,01376241,Tomato & Herb Bolognese,discovery
What are the ingredients in Himalayan Chef's pink salt grinder?,0818581010857,"Himalayan chef, himalayan pink salt grinder",ingredient
How much salt is in Himalayan pink salt from WBM LLC?,0818581010857,"Himalayan chef, himalayan pink salt grinder",nutrition
Is there any fat content in Himalayan Chef's pink salt grinder?,0818581010857,"Himalayan chef, himalayan pink salt grinder",nutrition
What are the ingredients in Bem Cozinhados' accras de morue?,5601502334447,Accras de morue,ingredient
Are there any allergens in accras de morue by Bem Cozinhados?,5601502334447,Accras de morue,allergen
How many calories are in 100g of Bem Cozinhados' accras de morue?,5601502334447,Accras de morue,nutrition
What are the main ingredients in Casino's lobster rillettes with yuzu?,3222477189607,Rillettes de homard canadien au yuzu,ingredient
Does Casino's crab spread contain any allergens?,3222477189607,Rillettes de homard canadien au yuzu,allergen
What is the energy content per 100g of Casino's Canadian lobster rillettes?,3222477189607,Rillettes de homard canadien au yuzu,nutrition
What are the key ingredients in Beech-Nut's Fincarré baby food?,87598711,Fincarré,ingredient
How many calories are in 100 grams of Beech-Nut Fincarré baby food?,87598711,Fincarré,nutrition
Is Beech-Nut Fincarré baby food suitable for infants with a vitamin D deficiency?,87598711,Fincarré,discovery
What are the ingredients in MISKO's Πλεξούδες pasta?,5201010012327,Πλεξούδες,ingredient
How much protein is there in 100g of MISKO Πλεξούδες?,5201010012327,Πλεξούδες,nutrition
Can I find a plant-based pasta option from the brand MISKO?,5201010012327,Πλεξούδες,discovery
What are the main ingredients in Borggreve's Schoko Gebackenes Kekse?,4006529002149,Schoko Gebackenes Kekse,ingredient
How many calories are in 100 grams of Borggreve Schoko Gebackenes Kekse?,4006529002149,Schoko Gebackenes Kekse,nutrition
Can you recommend a sweet snack that contains chocolate and is made by Borggreve?,4006529002149,Schoko Gebackenes Kekse,discovery
What are the main ingredients in Marks & Spencer's chicken nuggets?,00595445,Breaded Chicken Nuggets,ingredient
How many calories are in 100g of Breaded Chicken Nuggets by Marks & Spencer?,00595445,Breaded Chicken Nuggets,nutrition
Are there any gluten-containing ingredients in Marks & Spencer's chicken nuggets?,00595445,Breaded Chicken Nuggets,allergen
What are the main ingredients in General Mills' Chex Cinnamon gluten free cereal?,0016000103719,Chex Cinnamon gluten free,ingredient
Does Chex Cinnamon gluten free contain any added vitamins or minerals?,0016000103719,Chex Cinnamon gluten free,nutrition
How many grams of sugar are in General Mills' Chex Cinnamon gluten free cereal?,0016000103719,Chex Cinnamon gluten free,nutrition
What are the main ingredients in Niederegger's Mouss au Chocolat?,4000161020691,Mouss au Chocolat,ingredient
Does Niederegger's Mouss au Chocolat contain milk or nuts?,4000161020691,Mouss au Chocolat,allergen
What is the calorie content per 100g of Niederegger's Mouss au Chocolat?,4000161020691,Mouss au Chocolat,nutrition
What are the main ingredients in Organic Girl's green cider smoothie?,0840469110045,"Organic girl, smoothie, green cider",ingredient
"How many calories are in Organic Girl's smoothie, green cider?",0840469110045,"Organic girl, smoothie, green cider",nutrition
Does Organic Girl's green cider smoothie contain any nuts?,0840469110045,"Organic girl, smoothie, green cider",allergen
What frozen dessert contains Colombian coffee as an ingredient?,3279231719013,La mousse au café,ingredient
How many calories are in La Fermière's coffee mousse?,3279231719013,La mousse au café,nutrition
What are the main ingredients in Albert Heijn's stoommaaltijd terriyaki?,8718907280099,Stoommaaltijd terriyaki,ingredient
How many calories does a serving of stoommaaltijd terriyaki by Albert Heijn contain?,8718907280099,Stoommaaltijd terriyaki,nutrition
Is there any beef in Albert Heijn's teriyaki meal?,8718907280099,Stoommaaltijd terriyaki,allergen
What are the main ingredients in Triangle Comtois sandwiches?,00013819,Triangle Comtois,ingredient
How many calories are there in a 100g serving of Crous's Triangle Comtois?,00013819,Triangle Comtois,nutrition
Does Triangle Comtois contain any gluten?,00013819,Triangle Comtois,allergen
What are the ingredients in Rim Rock Farms uncooked chicken tenders?,0694022594403,Uncooked Chicken Tenders,ingredient
How much protein does Rim Rock Farms uncooked chicken tender contain per 100g?,0694022594403,Uncooked Chicken Tenders,nutrition
Are there any allergens in Rim Rock Farms boneless skinless chicken breast strips?,0694022594403,Uncooked Chicken Tenders,allergen
What is the calorie content of Everyday Essentials Basmati Rice per 100g?,4061462617898,Chicken Attitude en,nutrition
What is the protein amount in Everyday Essentials Chicken Attitude?,4061462617898,Chicken Attitude en,nutrition
What are the main ingredients in Milbona vanilla flavored rice pudding?,20692421,Riz au lait saveur vanille,ingredient
Is there any milk allergen in Milbona's rice pudding?,20692421,Riz au lait saveur vanille,allergen
How many calories are in 100g of Milbona's vanilla rice pudding?,20692421,Riz au lait saveur vanille,nutrition
What are the ingredients in Stubb's Original Legendary Bar-B-Q Sauce?,0734756000020,Original Legendary Bar-B-Q Sauce,ingredient
How many calories are in Stubb's barbecue sauce?,0734756000020,Original Legendary Bar-B-Q Sauce,nutrition
Is there any garlic in Stubb's Original Legendary Bar-B-Q Sauce?,0734756000020,Original Legendary Bar-B-Q Sauce,allergen
What are the main ingredients in a sweet snack that contains 48.5% cashews?,8016225365963,Mini croccante,ingredient
Which snack has 51g of sugars per 100g and is Fair Trade certified?,8016225365963,Mini croccante,nutrition
I’m allergic to peanuts and tree nuts; are there any snack options I can consider?,8016225365963,Mini croccante,allergen
What is the nutritional information for Les Confitures de Haute Soule cherry jam?,3760101593722,Confiture de cerise bio,nutrition
Does the confiture de cerise bio by Les Confitures de Haute Soule contain any allergens?,3760101593722,Confiture de cerise bio,allergen
What are the ingredients in the organic cherry jam from Les Confitures de Haute Soule?,3760101593722,Confiture de cerise bio,ingredient
What is the protein content of Nutrimuscle's native whey isolate?,5407010252743,Native whey isolate,nutrition
Does Nutrimuscle's native whey isolate contain any sugars?,5407010252743,Native whey isolate,ingredient
Which protein powder has 94% native whey protein and is made by Nutrimuscle?,5407010252743,Native whey isolate,product_lookup
What are the ingredients in Kania's Thai Style Instant Noodles with chicken flavor?,4056489915256,Kania Thai Style Instant Nudeln Huhn,ingredient
How much protein does Kania Thai Style Instant Noodles contain per 100 grams?,4056489915256,Kania Thai Style Instant Nudeln Huhn,nutrition
Is Kania Thai Style Instant Noodles suitable for vegetarians or vegans?,4056489915256,Kania Thai Style Instant Nudeln Huhn,allergen
What are the main ingredients in Edeka's Bourbon-Vanille Waffeln?,4311501386866,Bourbon-Vanille Waffeln,ingredient
Does Edeka's Bourbon-Vanille Waffeln contain any allergens?,4311501386866,Bourbon-Vanille Waffeln,allergen
What is the sugar content in Edeka Bourbon-Vanille Waffeln per 100g?,4311501386866,Bourbon-Vanille Waffeln,nutrition
What are the main ingredients in Royal Bernard's turkey cordons bleus?,3276280086332,Mon Cordon bleu de dinde X4,ingredient
Does Mon Cordon bleu de dinde from Royal Bernard contain gluten?,3276280086332,Mon Cordon bleu de dinde X4,allergen
What is the protein content in Mon Cordon bleu de dinde by Royal Bernard?,3276280086332,Mon Cordon bleu de dinde X4,nutrition
Is DmBio's Shoko müsli suitable for a chocolate lover's breakfast?,4058172543395,Shoko müsli,discovery
What allergens should I be aware of for Shoko müsli by DmBio?,4058172543395,Shoko müsli,allergen
How many grams of sugar are in 100 grams of DmBio Shoko müsli?,4058172543395,Shoko müsli,nutrition
What are the ingredients in KETO LOCA dark chocolate drops?,5425032435067,Belgian dark chocolate drops,ingredient
How many calories are in Belgian dark chocolate drops from KETO LOCA?,5425032435067,Belgian dark chocolate drops,nutrition
Is there any sugar in KETO LOCA's dark chocolate drops?,5425032435067,Belgian dark chocolate drops,nutrition
What is the fat content in Edeka's Cheddar cheese?,4311501476215,Cheddar,nutrition
Does Edeka's Cheddar cheese contain any allergens?,4311501476215,Cheddar,allergen
What are the main ingredients in Cheddar cheese by Gut & Günstig?,4311501476215,Cheddar,ingredient
What are the ingredients in JARDIN BIO ETIC's Matin Douceur frozen food?,3289196100696,Matin Douceur,ingredient
How many calories are in JARDIN BIO ETIC's Matin Douceur per 100 grams?,3289196100696,Matin Douceur,nutrition
Does JARDIN BIO ETIC's Matin Douceur contain any fat?,3289196100696,Matin Douceur,nutrition
What are the main ingredients in Temptations by Jell-O's Lemon Meringue Pie?,0043000050842,Lemon Meringue Pie,ingredient
How many calories are in a 100g serving of Temptations by Jell-O Lemon Meringue Pie?,0043000050842,Lemon Meringue Pie,nutrition
Is Temptations by Jell-O's Lemon Meringue Pie suitable for someone looking for a fruit tart dessert?,0043000050842,Lemon Meringue Pie,discovery
What are the main ingredients in Winny's Rosette dry sausage?,5400247057662,Rosette,ingredient
Does Winny's Rosette contain any milk allergens?,5400247057662,Rosette,allergen
What is the protein content per 100 grams in Winny's Rosette?,5400247057662,Rosette,nutrition
What are the ingredients in AH Bio smoked salmon?,8718265753600,Biologische Gerookte Zalm,ingredient
